"T","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","p","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
206.91,163.11,0.29348,231.57,163.05,0.32616,231.55,843.63,0.019784,0.019781,1,0.0051923,0.0016448,-1e-05,0.0032179
210.69,156,0.41789,222.7,155.94,0.44565,222.69,842.73,0.019356,0.019353,1,0.0051995,0.0016513,-1e-05,0.0032149
214.37,148.96,0.54172,213.98,148.91,0.56465,213.97,841.82,0.018945,0.018943,1,0.0052067,0.0016579,-1e-05,0.0032118
216.84,143,0.54773,206.8,142.95,0.5672,206.78,841.18,0.018703,0.018702,1,0.005214,0.0016644,-1e-05,0.0032088
218.97,137.37,0.52625,200.08,137.32,0.54265,200.06,840.62,0.018509,0.018507,1,0.0052212,0.001671,-1e-05,0.0032057
221.02,131.82,0.50646,193.48,131.77,0.51987,193.46,840.1,0.018322,0.01832,1,0.0052284,0.0016775,-1e-05,0.0032026
223,126.35,0.48838,187.01,126.31,0.49887,186.99,839.6,0.018142,0.018142,1,0.0052357,0.0016841,-1e-05,0.0031996
224.91,120.97,0.47203,180.67,120.93,0.47968,180.65,839.13,0.017971,0.017971,1,0.0052429,0.0016906,-1e-05,0.0031965
226.75,115.67,0.45742,174.46,115.64,0.4623,174.44,838.7,0.017808,0.017808,1,0.0052501,0.0016972,-1e-05,0.0031935
228.51,110.45,0.44458,168.37,110.43,0.44676,168.35,838.29,0.017653,0.017653,1,0.0052574,0.0017037,-1e-05,0.0031904
230.2,105.32,0.43352,162.41,105.3,0.43307,162.38,837.9,0.017505,0.017505,1,0.0052646,0.0017103,-1e-05,0.0031873
231.76,100.39,0.42435,156.69,100.36,0.42167,156.67,837.6,0.017372,0.017373,1,0.0052718,0.0017168,-1e-05,0.0031843
232.65,96.564,0.41746,152.23,96.543,0.41557,152.2,837.74,0.017308,0.017309,1,0.0052791,0.0017234,-1e-05,0.0031812
233.5,92.808,0.4117,147.85,92.789,0.41054,147.83,837.9,0.017247,0.017248,1,0.0052863,0.0017299,-1e-05,0.0031782
234.31,89.12,0.40706,143.57,89.104,0.40658,143.54,838.07,0.01719,0.017191,1,0.0052935,0.0017365,-1e-05,0.0031751
235.08,85.5,0.40357,139.37,85.486,0.40371,139.35,838.24,0.017136,0.017137,1,0.0053008,0.0017431,-1e-05,0.003172
235.73,82.077,0.40074,135.47,82.065,0.40146,135.44,838.4,0.017092,0.017093,1,0.005308,0.0017496,-1e-05,0.003169
236.34,78.715,0.39926,131.64,78.705,0.40053,131.61,838.57,0.01705,0.017051,1,0.0053152,0.0017562,-1e-05,0.0031659
236.93,75.413,0.39917,127.89,75.405,0.40095,127.86,838.75,0.01701,0.017012,1,0.0053225,0.0017627,-1e-05,0.0031628
237.5,72.17,0.40047,124.21,72.164,0.40272,124.18,838.94,0.016973,0.016975,1,0.0053297,0.0017693,-1e-05,0.0031598
237.93,69.282,0.41129,120.93,69.278,0.41392,120.9,839.24,0.016947,0.016949,1,0.0053369,0.0017758,-1e-05,0.0031567
238.19,66.899,0.43451,118.22,66.896,0.43739,118.19,839.67,0.016937,0.016939,1,0.0053441,0.0017824,-1e-05,0.0031537
238.44,64.556,0.45684,115.56,64.554,0.45993,115.53,840.09,0.016928,0.01693,1,0.0053514,0.0017889,-1e-05,0.0031506
238.68,62.252,0.47829,112.96,62.251,0.48157,112.92,840.51,0.01692,0.016922,1,0.0053586,0.0017955,-1e-05,0.0031475
238.9,59.988,0.49886,110.41,59.987,0.50229,110.38,840.93,0.016913,0.016914,1,0.0053658,0.001802,-1e-05,0.0031445
239.1,57.763,0.51857,107.91,57.763,0.52211,107.88,841.33,0.016906,0.016908,1,0.0053731,0.0018086,-1e-05,0.0031414
