"T","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","p","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
24.357,239.89,-3.7472,538.66,239.77,-3.7569,538.69,179.37,0.035332,0.035328,1,0.0019543,0.00086542,-1e-05,0.0034803
24.264,239.67,-3.748,538.77,239.55,-3.754,538.8,177.67,0.03513,0.035127,1,0.0019596,0.00086788,-1e-05,0.003485
24.172,239.42,-3.7461,538.91,239.3,-3.7483,538.94,175.99,0.034929,0.034927,1,0.0019649,0.00087034,-1e-05,0.0034898
24.08,239.14,-3.7413,539.07,239.01,-3.7398,539.1,174.31,0.034728,0.034728,1,0.0019703,0.00087279,-1e-05,0.0034945
23.988,238.82,-3.7337,539.26,238.7,-3.7285,539.29,172.65,0.034528,0.03453,1,0.0019756,0.00087525,-1e-05,0.0034992
23.897,238.48,-3.7233,539.47,238.35,-3.7145,539.51,170.99,0.034329,0.034332,1,0.0019809,0.0008777,-1e-05,0.0035039
23.807,238.1,-3.7102,539.72,237.97,-3.6977,539.75,169.34,0.03413,0.034135,1,0.0019862,0.00088016,-1e-05,0.0035086
23.717,237.69,-3.6942,539.99,237.56,-3.6781,540.02,167.7,0.033932,0.033939,1,0.0019915,0.00088261,-1e-05,0.0035133
23.627,237.24,-3.6755,540.28,237.12,-3.6557,540.32,166.07,0.033734,0.033744,1,0.0019968,0.00088507,-1e-05,0.003518
23.538,236.77,-3.6539,540.61,236.65,-3.6306,540.64,164.45,0.033537,0.033549,1,0.0020021,0.00088752,-1e-05,0.0035227
23.455,236.39,-3.6076,540.86,236.27,-3.5815,540.89,162.95,0.033353,0.033367,1,0.0020074,0.00088998,-1e-05,0.0035274
23.398,236.33,-3.5022,540.89,236.24,-3.4751,540.92,161.88,0.033215,0.033231,1,0.0020127,0.00089243,-1e-05,0.0035321
23.348,236.32,-3.3921,540.9,236.24,-3.3643,540.91,160.91,0.033089,0.033107,1,0.0020181,0.00089489,-1e-05,0.0035368
23.3,236.3,-3.2838,540.89,236.23,-3.2556,540.9,159.99,0.032967,0.032986,1,0.0020234,0.00089735,-1e-05,0.0035416
23.254,236.27,-3.1774,540.88,236.23,-3.1489,540.88,159.1,0.032849,0.03287,1,0.0020287,0.0008998,-1e-05,0.0035463
23.211,236.25,-3.0728,540.86,236.22,-3.0442,540.85,158.24,0.032735,0.032758,1,0.002034,0.00090226,-1e-05,0.003551
23.171,236.22,-2.97,540.83,236.21,-2.9415,540.81,157.43,0.032626,0.032651,1,0.0020393,0.00090471,-1e-05,0.0035557
23.132,236.2,-2.8691,540.79,236.2,-2.8408,540.76,156.65,0.032521,0.032547,1,0.0020446,0.00090717,-1e-05,0.0035604
23.096,236.17,-2.7699,540.75,236.19,-2.7421,540.7,155.92,0.032421,0.032448,1,0.0020499,0.00090962,-1e-05,0.0035651
23.062,236.14,-2.6726,540.69,236.17,-2.6454,540.64,155.22,0.032324,0.032353,1,0.0020552,0.00091208,-1e-05,0.0035698
23.031,236.1,-2.5771,540.63,236.16,-2.5508,540.56,154.55,0.032232,0.032262,1,0.0020605,0.00091453,-1e-05,0.0035745
22.995,236.39,-2.5012,540.47,236.45,-2.477,540.39,153.83,0.032132,0.032162,1,0.0020658,0.00091699,-1e-05,0.0035792
22.957,236.84,-2.4388,540.25,236.92,-2.4174,540.17,153.08,0.032027,0.032057,1,0.0020712,0.00091944,-1e-05,0.0035839
22.919,237.28,-2.38,540.01,237.37,-2.3613,539.92,152.34,0.031924,0.031953,1,0.0020765,0.0009219,-1e-05,0.0035886
22.883,237.71,-2.3246,539.76,237.8,-2.3088,539.67,151.61,0.031822,0.03185,1,0.0020818,0.00092436,-1e-05,0.0035933
22.848,238.12,-2.2728,539.49,238.23,-2.2598,539.4,150.91,0.031722,0.031749,1,0.0020871,0.00092681,-1e-05,0.0035981
22.814,238.52,-2.2245,539.22,238.64,-2.2144,539.12,150.22,0.031625,0.03165,1,0.0020924,0.00092927,-1e-05,0.0036028
22.781,238.91,-2.1798,538.92,239.03,-2.1725,538.82,149.54,0.031529,0.031553,1,0.0020977,0.00093172,-1e-05,0.0036075
22.749,239.29,-2.1385,538.62,239.41,-2.1341,538.51,148.89,0.031435,0.031457,1,0.002103,0.00093418,-1e-05,0.0036122
22.719,239.65,-2.1008,538.3,239.78,-2.0993,538.19,148.25,0.031342,0.031363,1,0.0021083,0.00093663,-1e-05,0.0036169
22.689,239.99,-2.0666,537.96,240.13,-2.068,537.85,147.63,0.031252,0.03127,1,0.0021136,0.00093909,-1e-05,0.0036216
22.668,240.39,-2.0481,537.59,240.54,-2.0523,537.47,147.12,0.031173,0.031188,1,0.002119,0.00094154,-1e-05,0.0036263
22.615,241.03,-2.0847,537.29,241.18,-2.091,537.18,146.16,0.031037,0.031048,1,0.0021243,0.000944,-1e-05,0.003631
22.555,241.69,-2.1271,536.99,241.84,-2.1354,536.88,145.11,0.030888,0.030894,1,0.0021296,0.00094645,-1e-05,0.0036357
22.492,242.36,-2.1706,536.68,242.51,-2.1809,536.58,143.99,0.030731,0.030733,1,0.0021349,0.00094891,-1e-05,0.0036404
22.424,243.02,-2.2152,536.36,243.17,-2.2273,536.27,142.82,0.030567,0.030565,1,0.0021402,0.00095137,-1e-05,0.0036451
22.353,243.68,-2.2609,536.03,243.83,-2.2747,535.94,141.59,0.030396,0.030389,1,0.0021455,0.00095382,-1e-05,0.0036499
22.277,244.34,-2.3077,535.69,244.49,-2.3232,535.61,140.31,0.030217,0.030205,1,0.0021508,0.00095628,-1e-05,0.0036546
22.198,245,-2.3555,535.34,245.15,-2.3726,535.27,138.97,0.030032,0.030015,1,0.0021561,0.00095873,-1e-05,0.0036593
22.115,245.66,-2.4044,534.98,245.8,-2.4231,534.92,137.57,0.029838,0.029816,1,0.0021614,0.00096119,-1e-05,0.003664
22.028,246.32,-2.4544,534.61,246.46,-2.4745,534.56,136.11,0.029638,0.029611,1,0.0021668,0.00096364,-1e-05,0.0036687
21.937,246.97,-2.5054,534.23,247.12,-2.5269,534.19,134.6,0.02943,0.029398,1,0.0021721,0.0009661,-1e-05,0.0036734
21.839,247.56,-2.5552,533.92,247.7,-2.5777,533.89,132.99,0.029209,0.029171,1,0.0021774,0.00096855,-1e-05,0.0036781
21.718,247.83,-2.5948,533.98,247.95,-2.6164,533.97,131.14,0.02895,0.028912,1,0.0021827,0.00097101,-1e-05,0.0036828
21.594,248.08,-2.6337,534.06,248.17,-2.6544,534.06,129.26,0.028688,0.028648,1,0.002188,0.00097347,-1e-05,0.0036875
21.468,248.3,-2.6719,534.15,248.37,-2.6917,534.16,127.34,0.028421,0.028379,1,0.0021933,0.00097592,-1e-05,0.0036922
21.338,248.5,-2.7094,534.24,248.54,-2.7282,534.28,125.39,0.028149,0.028107,1,0.0021986,0.00097838,-1e-05,0.0036969
21.205,248.68,-2.7462,534.35,248.69,-2.7641,534.41,123.4,0.027873,0.02783,1,0.0022039,0.00098083,-1e-05,0.0037017
21.069,248.83,-2.7824,534.48,248.82,-2.7992,534.54,121.38,0.027592,0.027548,1,0.0022092,0.00098329,-1e-05,0.0037064
20.93,248.96,-2.8178,534.61,248.92,-2.8336,534.7,119.32,0.027307,0.027262,1,0.0022145,0.00098574,-1e-05,0.0037111
20.789,249.07,-2.8525,534.76,249,-2.8673,534.86,117.23,0.027017,0.026972,1,0.0022199,0.0009882,-1e-05,0.0037158
20.655,249.21,-2.8888,534.96,249.11,-2.9024,535.08,115.25,0.026743,0.026698,1,0.0022252,0.00099065,-1e-05,0.0037205
20.526,249.39,-2.9265,535.19,249.26,-2.9387,535.33,113.35,0.02648,0.026435,1,0.0022305,0.00099311,-1e-05,0.0037252
20.419,249.3,-2.9463,535.53,249.14,-2.9576,535.68,111.76,0.026251,0.026208,1,0.0022358,0.00099556,-1e-05,0.0037299
20.342,248.85,-2.944,535.99,248.68,-2.9551,536.13,110.58,0.02607,0.026031,1,0.0022411,0.00099802,-1e-05,0.0037346
20.266,248.39,-2.9417,536.45,248.21,-2.9525,536.59,109.41,0.02589,0.025855,1,0.0022464,0.0010005,-1e-05,0.0037393
20.189,247.91,-2.9392,536.91,247.72,-2.9496,537.05,108.24,0.02571,0.02568,1,0.0022517,0.0010029,-1e-05,0.003744
20.111,247.42,-2.9367,537.37,247.22,-2.9466,537.51,107.06,0.02553,0.025504,1,0.002257,0.0010054,-1e-05,0.0037487
20.034,246.91,-2.934,537.83,246.7,-2.9435,537.97,105.89,0.02535,0.025329,1,0.0022623,0.0010078,-1e-05,0.0037535
19.956,246.38,-2.9312,538.3,246.17,-2.9402,538.43,104.71,0.02517,0.025155,1,0.0022677,0.0010103,-1e-05,0.0037582
19.878,245.84,-2.9284,538.76,245.62,-2.9367,538.89,103.54,0.02499,0.02498,1,0.002273,0.0010128,-1e-05,0.0037629
19.799,245.28,-2.9254,539.23,245.05,-2.9331,539.35,102.36,0.024811,0.024806,1,0.0022783,0.0010152,-1e-05,0.0037676
19.72,244.7,-2.9223,539.69,244.47,-2.9293,539.81,101.19,0.024631,0.024632,1,0.0022836,0.0010177,-1e-05,0.0037723
19.641,244.11,-2.9192,540.16,243.88,-2.9253,540.28,100.01,0.024452,0.024459,1,0.0022889,0.0010201,-1e-05,0.003777
19.6,243.81,-2.9351,540.37,243.6,-2.9411,540.48,99.39,0.024354,0.024366,1,0.0022942,0.0010226,-1e-05,0.0037817
19.576,243.64,-2.9567,540.47,243.45,-2.9627,540.57,99.012,0.024292,0.024308,1,0.0022995,0.001025,-1e-05,0.0037864
19.554,243.48,-2.976,540.58,243.32,-2.982,540.67,98.661,0.024235,0.024255,1,0.0023048,0.0010275,-1e-05,0.0037911
19.534,243.32,-2.993,540.68,243.18,-2.9989,540.76,98.337,0.024182,0.024205,1,0.0023101,0.0010299,-1e-05,0.0037958
19.515,243.17,-3.0077,540.79,243.05,-3.0134,540.86,98.039,0.024132,0.02416,1,0.0023154,0.0010324,-1e-05,0.0038005
19.498,243.02,-3.0202,540.89,242.93,-3.0256,540.95,97.769,0.024088,0.024119,1,0.0023208,0.0010349,-1e-05,0.0038053
19.483,242.87,-3.0304,541,242.81,-3.0354,541.05,97.524,0.024047,0.024083,1,0.0023261,0.0010373,-1e-05,0.00381
19.483,242.63,-3.0352,541.2,242.59,-3.04,541.24,97.477,0.024034,0.024074,1,0.0023314,0.0010398,-1e-05,0.0038147
19.501,242.26,-3.0335,541.52,242.25,-3.0383,541.54,97.651,0.024053,0.024096,1,0.0023367,0.0010422,-1e-05,0.0038194
19.519,241.91,-3.0289,541.82,241.93,-3.0336,541.83,97.821,0.024072,0.024118,1,0.002342,0.0010447,-1e-05,0.0038241
19.536,241.58,-3.0214,542.11,241.63,-3.0261,542.1,97.985,0.02409,0.024139,1,0.0023473,0.0010471,-1e-05,0.0038288
19.561,241.81,-3.027,542.1,241.86,-3.0308,542.1,98.306,0.024137,0.024186,1,0.0023526,0.0010496,-1e-05,0.0038335
19.586,242.05,-3.0309,542.08,242.11,-3.0338,542.07,98.623,0.024183,0.024233,1,0.0023579,0.001052,-1e-05,0.0038382
19.61,242.3,-3.033,542.05,242.37,-3.035,542.03,98.932,0.024227,0.024278,1,0.0023632,0.0010545,-1e-05,0.0038429
19.634,242.56,-3.0331,542,242.63,-3.0343,541.97,99.235,0.024271,0.024322,1,0.0023686,0.001057,-1e-05,0.0038476
19.657,242.83,-3.0314,541.93,242.91,-3.0318,541.9,99.531,0.024314,0.024365,1,0.0023739,0.0010594,-1e-05,0.0038523
19.681,243.1,-3.0278,541.85,243.19,-3.0274,541.81,99.82,0.024356,0.024406,1,0.0023792,0.0010619,-1e-05,0.003857
19.703,243.39,-3.0223,541.76,243.48,-3.0212,541.71,100.1,0.024396,0.024446,1,0.0023845,0.0010643,-1e-05,0.0038618
19.726,243.68,-3.0149,541.64,243.78,-3.0131,541.6,100.38,0.024435,0.024486,1,0.0023898,0.0010668,-1e-05,0.0038665
19.748,243.99,-3.0056,541.52,244.09,-3.0032,541.46,100.65,0.024473,0.024523,1,0.0023951,0.0010692,-1e-05,0.0038712
19.77,244.3,-2.9944,541.38,244.41,-2.9915,541.32,100.91,0.02451,0.02456,1,0.0024004,0.0010717,-1e-05,0.0038759
19.787,244.67,-2.9759,541.19,244.79,-2.9721,541.12,101.11,0.024539,0.024587,1,0.0024057,0.0010741,-1e-05,0.0038806
19.79,245.21,-2.9393,540.88,245.33,-2.934,540.81,101.14,0.024542,0.024588,1,0.002411,0.0010766,-1e-05,0.0038853
19.793,245.76,-2.9013,540.57,245.88,-2.8944,540.49,101.16,0.024544,0.024586,1,0.0024164,0.0010791,-1e-05,0.00389
19.795,246.3,-2.8616,540.25,246.42,-2.8534,540.17,101.17,0.024543,0.024582,1,0.0024217,0.0010815,-1e-05,0.0038947
19.796,246.85,-2.8205,539.92,246.97,-2.8108,539.84,101.16,0.024539,0.024575,1,0.002427,0.001084,-1e-05,0.0038994
19.796,247.39,-2.7778,539.58,247.52,-2.7668,539.5,101.13,0.024534,0.024566,1,0.0024323,0.0010864,-1e-05,0.0039041
19.798,247.83,-2.7407,539.32,247.97,-2.7287,539.24,101.15,0.024534,0.024563,1,0.0024376,0.0010889,-1e-05,0.0039088
19.805,248.06,-2.7177,539.24,248.2,-2.7051,539.15,101.26,0.02455,0.024576,1,0.0024429,0.0010913,-1e-05,0.0039136
19.812,248.3,-2.695,539.14,248.44,-2.6817,539.05,101.36,0.024563,0.024586,1,0.0024482,0.0010938,-1e-05,0.0039183
19.818,248.54,-2.6724,539.04,248.68,-2.6586,538.95,101.44,0.024575,0.024595,1,0.0024535,0.0010962,-1e-05,0.003923
19.823,248.78,-2.65,538.94,248.93,-2.6358,538.85,101.51,0.024585,0.024601,1,0.0024588,0.0010987,-1e-05,0.0039277
19.801,248.99,-2.6168,538.9,249.14,-2.6029,538.82,101.25,0.024542,0.024555,1,0.0024641,0.0011012,-1e-05,0.0039324
19.756,249.17,-2.5766,538.93,249.3,-2.5641,538.85,100.69,0.024453,0.024461,1,0.0024695,0.0011036,-1e-05,0.0039371
19.711,249.35,-2.5407,538.95,249.47,-2.5297,538.89,100.12,0.024363,0.024367,1,0.0024748,0.0011061,-1e-05,0.0039418
19.666,249.53,-2.5091,538.97,249.64,-2.4996,538.91,99.553,0.024273,0.024272,1,0.0024801,0.0011085,-1e-05,0.0039465
19.621,249.7,-2.4817,538.98,249.8,-2.474,538.94,98.976,0.024182,0.024177,1,0.0024854,0.001111,-1e-05,0.0039512
19.576,249.88,-2.4586,538.99,249.96,-2.4527,538.95,98.393,0.02409,0.024081,1,0.0024907,0.0011134,-1e-05,0.0039559
19.531,250.05,-2.4397,538.99,250.13,-2.4359,538.97,97.806,0.023998,0.023985,1,0.002496,0.0011159,-1e-05,0.0039606
19.486,250.22,-2.4251,538.99,250.29,-2.4234,538.97,97.212,0.023906,0.023888,1,0.0025013,0.0011183,-1e-05,0.0039654
19.441,250.39,-2.4147,538.98,250.44,-2.4154,538.97,96.614,0.023813,0.023791,1,0.0025066,0.0011208,-1e-05,0.0039701
19.396,250.56,-2.4087,538.97,250.6,-2.4117,538.97,96.009,0.023719,0.023694,1,0.0025119,0.0011232,-1e-05,0.0039748
19.351,250.72,-2.4068,538.95,250.76,-2.4124,538.96,95.4,0.023625,0.023595,1,0.0025173,0.0011257,-1e-05,0.0039795
19.279,250.57,-2.456,539.23,250.59,-2.465,539.25,94.461,0.023469,0.023439,1,0.0025226,0.0011282,-1e-05,0.0039842
19.2,250.36,-2.5219,539.55,250.37,-2.5343,539.58,93.425,0.023296,0.023265,1,0.0025279,0.0011306,-1e-05,0.0039889
19.12,250.19,-2.5922,539.84,250.19,-2.6079,539.88,92.376,0.023121,0.02309,1,0.0025332,0.0011331,-1e-05,0.0039936
19.039,250.05,-2.667,540.11,250.04,-2.6858,540.16,91.313,0.022945,0.022913,1,0.0025385,0.0011355,-1e-05,0.0039983
18.958,249.95,-2.7463,540.34,249.92,-2.768,540.4,90.236,0.022767,0.022735,1,0.0025438,0.001138,-1e-05,0.004003
18.876,249.88,-2.8301,540.55,249.84,-2.8544,540.61,89.145,0.022587,0.022554,1,0.0025491,0.0011404,-1e-05,0.0040077
18.793,249.84,-2.9183,540.72,249.8,-2.9452,540.79,88.041,0.022406,0.022372,1,0.0025544,0.0011429,-1e-05,0.0040124
18.71,249.83,-3.01,540.87,249.78,-3.0392,540.95,86.932,0.022224,0.02219,1,0.0025597,0.0011453,-1e-05,0.0040172
18.644,249.67,-3.0785,541.17,249.61,-3.1088,541.25,86.072,0.022083,0.022048,1,0.0025651,0.0011478,-1e-05,0.0040219
18.579,249.51,-3.1476,541.45,249.44,-3.1789,541.54,85.21,0.021943,0.021907,1,0.0025704,0.0011503,-1e-05,0.0040266
18.516,249.34,-3.216,541.73,249.26,-3.2482,541.83,84.366,0.021806,0.021769,1,0.0025757,0.0011527,-1e-05,0.0040313
18.471,248.89,-3.2673,542.19,248.82,-3.2969,542.28,83.827,0.021711,0.021677,1,0.002581,0.0011552,-1e-05,0.004036
18.424,248.47,-3.3196,542.64,248.4,-3.3465,542.72,83.257,0.021611,0.02158,1,0.0025863,0.0011576,-1e-05,0.0040407
18.376,248.06,-3.3728,543.06,247.99,-3.3971,543.14,82.654,0.021507,0.021479,1,0.0025916,0.0011601,-1e-05,0.0040454
18.325,247.67,-3.427,543.47,247.61,-3.4487,543.54,82.02,0.021399,0.021373,1,0.0025969,0.0011625,-1e-05,0.0040501
18.272,247.3,-3.4822,543.86,247.24,-3.5013,543.92,81.354,0.021286,0.021263,1,0.0026022,0.001165,-1e-05,0.0040548
18.218,246.94,-3.5383,544.23,246.89,-3.5548,544.28,80.656,0.021169,0.021148,1,0.0026075,0.0011674,-1e-05,0.0040595
18.161,246.61,-3.5954,544.58,246.56,-3.6093,544.63,79.927,0.021047,0.021028,1,0.0026128,0.0011699,-1e-05,0.0040642
18.102,246.29,-3.6534,544.91,246.25,-3.6647,544.96,79.165,0.020921,0.020904,1,0.0026182,0.0011724,-1e-05,0.0040689
18.041,245.99,-3.7124,545.23,245.95,-3.721,545.27,78.372,0.02079,0.020775,1,0.0026235,0.0011748,-1e-05,0.0040737
17.978,245.71,-3.7723,545.53,245.68,-3.7783,545.56,77.547,0.020655,0.020641,1,0.0026288,0.0011773,-1e-05,0.0040784
17.927,245.5,-3.8039,545.76,245.47,-3.8073,545.78,76.901,0.020551,0.020539,1,0.0026341,0.0011797,-1e-05,0.0040831
17.901,245.41,-3.7758,545.85,245.39,-3.7766,545.87,76.647,0.020512,0.020502,1,0.0026394,0.0011822,-1e-05,0.0040878
17.873,245.33,-3.7457,545.93,245.33,-3.7439,545.94,76.359,0.020468,0.02046,1,0.0026447,0.0011846,-1e-05,0.0040925
17.842,245.28,-3.7138,546,245.29,-3.7094,546,76.036,0.020418,0.020412,1,0.00265,0.0011871,-1e-05,0.0040972
17.808,245.25,-3.68,546.06,245.26,-3.6728,546.04,75.678,0.020362,0.020358,1,0.0026553,0.0011895,-1e-05,0.0041019
17.771,245.23,-3.6442,546.1,245.26,-3.6343,546.08,75.286,0.020301,0.020299,1,0.0026606,0.001192,-1e-05,0.0041066
17.732,245.23,-3.6065,546.13,245.27,-3.5939,546.1,74.859,0.020234,0.020234,1,0.002666,0.0011945,-1e-05,0.0041113
17.69,245.26,-3.5668,546.14,245.3,-3.5515,546.1,74.398,0.020161,0.020164,1,0.0026713,0.0011969,-1e-05,0.004116
17.645,245.3,-3.5253,546.14,245.35,-3.5071,546.1,73.902,0.020083,0.020088,1,0.0026766,0.0011994,-1e-05,0.0041207
17.598,245.36,-3.4818,546.13,245.42,-3.4607,546.08,73.372,0.019999,0.020006,1,0.0026819,0.0012018,-1e-05,0.0041255
17.556,245.37,-3.4371,546.19,245.43,-3.4133,546.14,72.951,0.019937,0.019946,1,0.0026872,0.0012043,-1e-05,0.0041302
17.534,245.44,-3.3751,546.2,245.49,-3.3497,546.15,72.809,0.019924,0.019934,1,0.0026925,0.0012067,-1e-05,0.0041349
17.522,245.55,-3.2967,546.17,245.6,-3.2703,546.11,72.819,0.019937,0.019948,1,0.0026978,0.0012092,-1e-05,0.0041396
17.51,245.64,-3.214,546.14,245.68,-3.1865,546.09,72.812,0.019947,0.019958,1,0.0027031,0.0012116,-1e-05,0.0041443
17.497,245.7,-3.1269,546.12,245.73,-3.0984,546.08,72.787,0.019954,0.019965,1,0.0027084,0.0012141,-1e-05,0.004149
17.483,245.73,-3.0356,546.12,245.76,-3.0058,546.08,72.746,0.019957,0.01997,1,0.0027137,0.0012166,-1e-05,0.0041537
17.468,245.74,-2.9398,546.12,245.75,-2.9089,546.09,72.687,0.019958,0.01997,1,0.0027191,0.001219,-1e-05,0.0041584
17.452,245.72,-2.8398,546.14,245.73,-2.8075,546.11,72.611,0.019955,0.019968,1,0.0027244,0.0012215,-1e-05,0.0041631
17.436,245.68,-2.7353,546.17,245.67,-2.7016,546.14,72.518,0.019949,0.019963,1,0.0027297,0.0012239,-1e-05,0.0041678
17.419,245.6,-2.6265,546.21,245.59,-2.5913,546.19,72.407,0.019939,0.019954,1,0.002735,0.0012264,-1e-05,0.0041725
17.401,245.51,-2.5134,546.26,245.48,-2.4766,546.24,72.28,0.019927,0.019943,1,0.0027403,0.0012288,-1e-05,0.0041773
17.382,245.38,-2.3958,546.32,245.34,-2.3573,546.31,72.135,0.019911,0.019928,1,0.0027456,0.0012313,-1e-05,0.004182
17.369,245.11,-2.2842,546.44,245.06,-2.2447,546.44,72.048,0.019901,0.019917,1,0.0027509,0.0012337,-1e-05,0.0041867
17.356,244.81,-2.17,546.58,244.75,-2.1298,546.58,71.966,0.019892,0.019907,1,0.0027562,0.0012362,-1e-05,0.0041914
17.344,244.5,-2.0518,546.71,244.42,-2.0109,546.73,71.879,0.019881,0.019895,1,0.0027615,0.0012387,-1e-05,0.0041961
17.331,244.17,-1.9295,546.85,244.08,-1.888,546.87,71.787,0.019869,0.019883,1,0.0027669,0.0012411,-1e-05,0.0042008
17.319,243.82,-1.8032,547,243.72,-1.7612,547.02,71.69,0.019856,0.019869,1,0.0027722,0.0012436,-1e-05,0.0042055
17.307,243.46,-1.6727,547.14,243.35,-1.6304,547.17,71.587,0.019842,0.019854,1,0.0027775,0.001246,-1e-05,0.0042102
17.294,243.09,-1.5382,547.29,242.96,-1.4956,547.33,71.479,0.019827,0.019839,1,0.0027828,0.0012485,-1e-05,0.0042149
17.282,242.69,-1.3996,547.44,242.55,-1.3569,547.48,71.366,0.019811,0.019822,1,0.0027881,0.0012509,-1e-05,0.0042196
17.27,242.28,-1.2569,547.59,242.13,-1.2142,547.64,71.247,0.019794,0.019804,1,0.0027934,0.0012534,-1e-05,0.0042243
17.258,241.86,-1.1101,547.75,241.7,-1.0675,547.8,71.124,0.019775,0.019785,1,0.0027987,0.0012558,-1e-05,0.0042291
17.244,241.4,-0.96502,547.91,241.23,-0.9227,547.98,70.981,0.019753,0.019762,1,0.002804,0.0012583,-1e-05,0.0042338
17.223,240.84,-0.86448,548.23,240.68,-0.82403,548.29,70.77,0.019716,0.019725,1,0.0028093,0.0012608,-1e-05,0.0042385
17.199,240.3,-0.77726,548.64,240.14,-0.73918,548.7,70.578,0.019686,0.019694,1,0.0028147,0.0012632,-1e-05,0.0042432
17.176,239.77,-0.69079,549.04,239.61,-0.65511,549.1,70.387,0.019656,0.019663,1,0.00282,0.0012657,-1e-05,0.0042479
17.154,239.25,-0.60507,549.44,239.1,-0.5718,549.49,70.198,0.019627,0.019633,1,0.0028253,0.0012681,-1e-05,0.0042526
17.131,238.74,-0.5201,549.82,238.61,-0.48926,549.88,70.009,0.019598,0.019603,1,0.0028306,0.0012706,-1e-05,0.0042573
17.109,238.25,-0.43586,550.2,238.13,-0.40748,550.25,69.821,0.01957,0.019574,1,0.0028359,0.001273,-1e-05,0.004262
17.087,237.78,-0.35234,550.57,237.67,-0.32644,550.62,69.635,0.019542,0.019545,1,0.0028412,0.0012755,-1e-05,0.0042667
17.066,237.31,-0.26955,550.93,237.22,-0.24614,550.97,69.449,0.019514,0.019517,1,0.0028465,0.0012779,-1e-05,0.0042714
17.044,236.87,-0.18746,551.28,236.79,-0.16658,551.32,69.264,0.019487,0.019489,1,0.0028518,0.0012804,-1e-05,0.0042761
17.024,236.43,-0.10608,551.62,236.37,-0.087737,551.66,69.081,0.019461,0.019462,1,0.0028571,0.0012829,-1e-05,0.0042808
16.999,236.17,-0.058434,551.9,236.13,-0.043201,551.93,68.852,0.019424,0.019424,1,0.0028624,0.0012853,-1e-05,0.0042856
16.967,236.17,-0.058684,552.08,236.16,-0.0473,552.09,68.554,0.019372,0.019371,1,0.0028678,0.0012878,-1e-05,0.0042903
16.936,236.19,-0.059107,552.24,236.21,-0.051494,552.24,68.252,0.01932,0.019318,1,0.0028731,0.0012902,-1e-05,0.004295
16.904,236.25,-0.059692,552.38,236.3,-0.055776,552.36,67.945,0.019267,0.019264,1,0.0028784,0.0012927,-1e-05,0.0042997
16.873,236.34,-0.060432,552.5,236.42,-0.060137,552.47,67.633,0.019214,0.019209,1,0.0028837,0.0012951,-1e-05,0.0043044
16.841,236.46,-0.061318,552.61,236.57,-0.064567,552.56,67.316,0.01916,0.019154,1,0.002889,0.0012976,-1e-05,0.0043091
16.809,236.61,-0.062342,552.7,236.76,-0.069059,552.63,66.995,0.019105,0.019098,1,0.0028943,0.0013,-1e-05,0.0043138
16.777,236.79,-0.063494,552.76,236.97,-0.073605,552.68,66.67,0.01905,0.019042,1,0.0028996,0.0013025,-1e-05,0.0043185
16.745,237,-0.064768,552.81,237.21,-0.078195,552.72,66.34,0.018995,0.018984,1,0.0029049,0.001305,-1e-05,0.0043232
16.713,237.24,-0.066153,552.85,237.49,-0.082822,552.73,66.005,0.018939,0.018927,1,0.0029102,0.0013074,-1e-05,0.0043279
16.681,237.52,-0.067643,552.86,237.79,-0.087478,552.72,65.665,0.018882,0.018868,1,0.0029156,0.0013099,-1e-05,0.0043326
16.632,238.15,-0.1314,552.59,238.44,-0.15374,552.44,65.19,0.018797,0.018781,1,0.0029209,0.0013123,-1e-05,0.0043374
16.574,238.95,-0.22464,552.17,239.25,-0.24916,552.01,64.636,0.018696,0.018677,1,0.0029262,0.0013148,-1e-05,0.0043421
16.514,239.82,-0.31994,551.69,240.12,-0.34625,551.51,64.058,0.018591,0.018569,1,0.0029315,0.0013172,-1e-05,0.0043468
16.446,240.87,-0.41743,551.04,241.18,-0.44421,550.84,63.448,0.018482,0.018457,1,0.0029368,0.0013197,-1e-05,0.0043515
16.376,241.91,-0.50665,550.38,242.22,-0.53395,550.17,62.815,0.018369,0.018341,1,0.0029421,0.0013221,-1e-05,0.0043562
16.305,242.94,-0.58759,549.72,243.24,-0.61546,549.49,62.161,0.018253,0.018222,1,0.0029474,0.0013246,-1e-05,0.0043609
16.231,243.96,-0.66026,549.04,244.26,-0.68875,548.81,61.485,0.018134,0.0181,1,0.0029527,0.0013271,-1e-05,0.0043656
16.156,244.97,-0.72465,548.36,245.26,-0.75379,548.12,60.788,0.018011,0.017974,1,0.002958,0.0013295,-1e-05,0.0043703
16.078,245.96,-0.78076,547.66,246.24,-0.81061,547.42,60.068,0.017885,0.017844,1,0.0029634,0.001332,-1e-05,0.004375
15.998,246.95,-0.82859,546.96,247.21,-0.85919,546.71,59.327,0.017756,0.017712,1,0.0029687,0.0013344,-1e-05,0.0043797
15.917,247.92,-0.86813,546.25,248.17,-0.89952,546,58.565,0.017623,0.017575,1,0.002974,0.0013369,-1e-05,0.0043844
15.815,248.32,-0.95198,545.98,248.53,-0.98285,545.76,57.756,0.01748,0.017433,1,0.0029793,0.0013393,-1e-05,0.0043892
