arc_length,rho
0.0018392,0.036586
0.0018451,0.036239
0.0018509,0.035921
0.0018568,0.035603
0.0018626,0.035286
0.0018685,0.034968
0.0018743,0.034651
0.0018802,0.034333
0.0018861,0.034016
0.0018919,0.033777
0.0018978,0.033698
0.0019036,0.033618
0.0019095,0.033539
0.0019153,0.033459
0.0019212,0.03338
0.0019271,0.0333
0.0019329,0.033221
0.0019388,0.033142
0.0019446,0.033232
0.0019505,0.033341
0.0019563,0.033451
0.0019622,0.03356
0.0019681,0.033669
0.0019739,0.033779
0.0019798,0.033889
0.0019856,0.033998
0.0019915,0.034143
0.0019974,0.034326
0.0020032,0.034509
0.0020091,0.034693
0.0020149,0.034876
0.0020208,0.03506
0.0020266,0.035244
0.0020325,0.035427
0.0020384,0.035602
0.0020442,0.035566
0.0020501,0.03553
0.0020559,0.035494
0.0020618,0.035458
0.0020676,0.035422
0.0020735,0.035387
0.0020794,0.035351
0.0020852,0.035315
0.0020911,0.035205
0.0020969,0.035047
0.0021028,0.03489
0.0021086,0.034733
0.0021145,0.034575
0.0021204,0.034418
0.0021262,0.034261
0.0021321,0.034104
0.0021379,0.033958
0.0021438,0.033863
0.0021496,0.033769
0.0021555,0.033674
0.0021614,0.033579
0.0021672,0.033484
0.0021731,0.03339
0.0021789,0.033295
0.0021848,0.0332
0.0021906,0.033114
0.0021965,0.03303
0.0022024,0.032946
0.0022082,0.032862
0.0022141,0.032779
0.0022199,0.032695
0.0022258,0.032611
0.0022316,0.032527
0.0022375,0.032443
0.0022434,0.03236
0.0022492,0.032276
0.0022551,0.032193
0.0022609,0.032109
0.0022668,0.032026
0.0022726,0.031942
0.0022785,0.031859
0.0022844,0.031775
0.0022902,0.031689
0.0022961,0.031603
0.0023019,0.031518
0.0023078,0.031432
0.0023136,0.031346
0.0023195,0.03126
0.0023254,0.031174
0.0023312,0.031088
0.0023371,0.030996
0.0023429,0.030897
0.0023488,0.030797
0.0023546,0.030698
0.0023605,0.030599
0.0023664,0.030499
0.0023722,0.0304
0.0023781,0.030301
0.0023839,0.030201
0.0023898,0.030079
0.0023956,0.029956
0.0024015,0.029834
0.0024074,0.029712
0.0024132,0.02959
0.0024191,0.029468
0.0024249,0.029346
0.0024308,0.029224
0.0024367,0.02909
0.0024425,0.028949
0.0024484,0.028807
0.0024542,0.028665
0.0024601,0.028524
0.0024659,0.028382
0.0024718,0.028241
0.0024777,0.028099
0.0024835,0.027956
0.0024894,0.027804
0.0024952,0.027651
0.0025011,0.027499
0.0025069,0.027347
0.0025128,0.027195
0.0025187,0.027042
0.0025245,0.02689
0.0025304,0.026738
0.0025362,0.026561
0.0025421,0.026377
0.0025479,0.026192
0.0025538,0.026007
0.0025597,0.025822
0.0025655,0.025637
0.0025714,0.025452
0.0025772,0.025267
0.0025831,0.025106
0.0025889,0.024998
0.0025948,0.024889
0.0026007,0.02478
0.0026065,0.024671
0.0026124,0.024561
0.0026182,0.024451
0.0026241,0.024341
0.0026299,0.02423
0.0026358,0.024119
0.0026417,0.024008
0.0026475,0.023896
0.0026534,0.023784
0.0026592,0.023671
0.0026651,0.023526
0.0026709,0.023178
0.0026768,0.02283
0.0026827,0.022559
0.0026885,0.022365
0.0026944,0.022172
0.0027002,0.021977
0.0027061,0.021783
0.0027119,0.021592
0.0027178,0.021418
0.0027237,0.021244
0.0027295,0.021061
0.0027354,0.020873
0.0027412,0.020684
0.0027471,0.020492
0.0027529,0.020299
0.0027588,0.020105
0.0027647,0.01991
0.0027705,0.019715
0.0027764,0.019504
0.0027822,0.019281
0.0027881,0.019059
0.0027939,0.018909
0.0027998,0.018763
0.0028057,0.01866
0.0028115,0.018662
0.0028174,0.018665
0.0028232,0.019011
0.0028291,0.019559
0.0028349,0.020107
0.0028408,0.022042
0.0028467,0.024016
0.0028525,0.026468
0.0028584,0.029969
0.0028642,0.033469
0.0028701,0.037025
0.002876,0.040612
0.0028818,0.044199
0.0028877,0.046429
0.0028935,0.048647
0.0028994,0.05041
0.0029052,0.051242
0.0029111,0.052073
0.002917,0.052288
0.0029228,0.05219
0.0029287,0.052092
0.0029345,0.051287
0.0029404,0.050501
0.0029462,0.049614
0.0029521,0.048175
0.002958,0.046744
0.0029638,0.045204
0.0029697,0.043451
0.0029755,0.041695
0.0029814,0.040015
0.0029872,0.038404
0.0029931,0.036785
0.002999,0.035369
0.0030048,0.034038
0.0030107,0.032701
0.0030165,0.031633
0.0030224,0.030598
0.0030282,0.029571
0.0030341,0.028791
0.00304,0.028007
0.0030458,0.027264
0.0030517,0.02667
0.0030575,0.026073
0.0030634,0.025533
0.0030692,0.025079
