x,p,U:0,U:1,U:2,T,U_0:0,U_0:1,U_0:2,rho,rho_0,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.36901,679.29,31.663,0.022416,114.89,216.22,31.647,0.022075,114.86,0.015094,0.015095,1,0.00050373,0.0024249,-1.00E-05,0.0035356
0.37487,680.13,31.911,0.028773,114.74,216.39,31.896,0.028692,114.72,0.015101,0.015102,1,0.00050959,0.0024191,-1.00E-05,0.0035356
0.38073,680.97,32.159,0.035125,114.6,216.55,32.144,0.035305,114.57,0.015108,0.015109,1,0.00051545,0.0024132,-1.00E-05,0.0035356
0.38658,681.81,32.408,0.041473,114.45,216.72,32.392,0.041914,114.43,0.015115,0.015116,1,0.0005213,0.0024074,-1.00E-05,0.0035356
0.39244,682.65,32.656,0.047817,114.31,216.88,32.64,0.048517,114.28,0.015122,0.015123,1,0.00052716,0.0024015,-1.00E-05,0.0035356
0.3983,683.51,32.956,0.043426,114.22,217.07,32.94,0.044468,114.19,0.015129,0.015129,1,0.00053302,0.0023956,-1.00E-05,0.0035356
0.40415,684.38,33.27,0.036015,114.14,217.26,33.253,0.037423,114.12,0.015134,0.015135,1,0.00053887,0.0023898,-1.00E-05,0.0035356
0.41001,685.25,33.584,0.0286,114.07,217.45,33.567,0.030372,114.04,0.01514,0.015141,1,0.00054473,0.0023839,-1.00E-05,0.0035356
0.41587,686.12,33.898,0.021179,114,217.64,33.88,0.023317,113.97,0.015146,0.015147,1,0.00055059,0.0023781,-1.00E-05,0.0035356
0.42173,686.99,34.213,0.013753,113.92,217.83,34.194,0.016256,113.9,0.015152,0.015153,1,0.00055645,0.0023722,-1.00E-05,0.0035356
0.42758,687.86,34.527,0.0063225,113.85,218.02,34.507,0.0091899,113.82,0.015158,0.015159,1,0.0005623,0.0023664,-1.00E-05,0.0035356
0.43344,688.73,34.841,-0.0011135,113.77,218.21,34.821,0.0021189,113.75,0.015164,0.015165,1,0.00056816,0.0023605,-1.00E-05,0.0035356
0.4393,689.6,35.155,-0.0085547,113.7,218.4,35.134,-0.0049575,113.67,0.01517,0.015171,1,0.00057402,0.0023546,-1.00E-05,0.0035356
0.44516,690.47,35.469,-0.016001,113.62,218.59,35.448,-0.012039,113.6,0.015176,0.015177,1,0.00057988,0.0023488,-1.00E-05,0.0035356
0.45101,691.35,35.789,-0.024407,113.55,218.78,35.767,-0.020085,113.53,0.015182,0.015183,1,0.00058573,0.0023429,-1.00E-05,0.0035356
0.45687,692.37,36.22,-0.049959,113.59,219.01,36.197,-0.045364,113.56,0.015189,0.015189,1,0.00059159,0.0023371,-1.00E-05,0.0035356
0.46273,693.38,36.65,-0.075516,113.62,219.24,36.626,-0.07065,113.59,0.015195,0.015196,1,0.00059745,0.0023312,-1.00E-05,0.0035356
0.46859,694.4,37.081,-0.10108,113.65,219.46,37.055,-0.095941,113.63,0.015202,0.015202,1,0.00060331,0.0023254,-1.00E-05,0.0035356
0.47444,695.41,37.511,-0.12665,113.68,219.69,37.485,-0.12124,113.66,0.015208,0.015208,1,0.00060916,0.0023195,-1.00E-05,0.0035356
0.4803,696.43,37.942,-0.15223,113.72,219.92,37.914,-0.14654,113.69,0.015214,0.015215,1,0.00061502,0.0023136,-1.00E-05,0.0035356
0.48616,697.44,38.372,-0.17781,113.75,220.15,38.344,-0.17185,113.73,0.015221,0.015221,1,0.00062088,0.0023078,-1.00E-05,0.0035356
0.49201,698.46,38.803,-0.2034,113.78,220.38,38.773,-0.19717,113.76,0.015227,0.015228,1,0.00062673,0.0023019,-1.00E-05,0.0035356
0.49787,699.47,39.233,-0.229,113.82,220.6,39.202,-0.2225,113.79,0.015234,0.015234,1,0.00063259,0.0022961,-1.00E-05,0.0035356
0.50373,700.49,39.664,-0.2546,113.85,220.83,39.632,-0.24783,113.83,0.01524,0.01524,1,0.00063845,0.0022902,-1.00E-05,0.0035356
0.50959,701.58,40.149,-0.28435,113.93,221.07,40.116,-0.27743,113.91,0.015247,0.015247,1,0.00064431,0.0022844,-1.00E-05,0.0035356
0.51544,702.82,40.748,-0.32274,114.13,221.34,40.713,-0.31593,114.11,0.015255,0.015256,1,0.00065016,0.0022785,-1.00E-05,0.0035356
0.5213,704.07,41.346,-0.36114,114.32,221.61,41.31,-0.35444,114.3,0.015264,0.015264,1,0.00065602,0.0022726,-1.00E-05,0.0035356
0.52716,705.31,41.945,-0.39954,114.52,221.88,41.908,-0.39296,114.49,0.015272,0.015272,1,0.00066188,0.0022668,-1.00E-05,0.0035356
0.53302,706.56,42.544,-0.43796,114.71,222.15,42.505,-0.43149,114.69,0.01528,0.01528,1,0.00066774,0.0022609,-1.00E-05,0.0035356
0.53887,707.8,43.142,-0.47639,114.9,222.42,43.103,-0.47002,114.88,0.015289,0.015289,1,0.00067359,0.0022551,-1.00E-05,0.0035356
0.54473,709.05,43.741,-0.51482,115.1,222.69,43.7,-0.50857,115.08,0.015297,0.015297,1,0.00067945,0.0022492,-1.00E-05,0.0035356
0.55059,710.29,44.34,-0.55327,115.29,222.96,44.298,-0.54713,115.27,0.015305,0.015305,1,0.00068531,0.0022434,-1.00E-05,0.0035356
0.55645,711.54,44.939,-0.59173,115.49,223.23,44.895,-0.58569,115.46,0.015314,0.015313,1,0.00069117,0.0022375,-1.00E-05,0.0035356
0.5623,712.78,45.537,-0.63019,115.68,223.5,45.493,-0.62427,115.66,0.015322,0.015322,1,0.00069702,0.0022316,-1.00E-05,0.0035356
0.56816,714.15,46.26,-0.66445,116.01,223.79,46.215,-0.65903,115.99,0.015332,0.015332,1,0.00070288,0.0022258,-1.00E-05,0.0035356
0.57402,715.59,47.067,-0.69586,116.44,224.07,47.021,-0.6912,116.42,0.015343,0.015343,1,0.00070874,0.0022199,-1.00E-05,0.0035356
0.57987,717.03,47.875,-0.72728,116.87,224.36,47.828,-0.72338,116.85,0.015354,0.015354,1,0.00071459,0.0022141,-1.00E-05,0.0035356
0.58573,718.47,48.682,-0.75872,117.3,224.65,48.635,-0.75559,117.28,0.015365,0.015365,1,0.00072045,0.0022082,-1.00E-05,0.0035356
0.59159,719.91,49.489,-0.79017,117.73,224.94,49.442,-0.78781,117.7,0.015376,0.015376,1,0.00072631,0.0022024,-1.00E-05,0.0035356
0.59745,721.36,50.297,-0.82164,118.16,225.23,50.249,-0.82004,118.13,0.015387,0.015387,1,0.00073217,0.0021965,-1.00E-05,0.0035356
0.6033,722.8,51.104,-0.85313,118.58,225.52,51.056,-0.8523,118.56,0.015398,0.015398,1,0.00073802,0.0021906,-1.00E-05,0.0035356
0.60916,724.24,51.912,-0.88464,119.01,225.81,51.862,-0.88457,118.99,0.015409,0.015409,1,0.00074388,0.0021848,-1.00E-05,0.0035356
0.61502,725.69,52.719,-0.91616,119.44,226.1,52.669,-0.91686,119.42,0.01542,0.01542,1,0.00074974,0.0021789,-1.00E-05,0.0035356
0.62088,727.13,53.527,-0.94771,119.87,226.39,53.476,-0.94916,119.85,0.015431,0.015431,1,0.0007556,0.0021731,-1.00E-05,0.0035356
0.62673,728.57,54.531,-0.94804,120.59,226.63,54.481,-0.95068,120.57,0.015445,0.015444,1,0.00076145,0.0021672,-1.00E-05,0.0035356
0.63259,730.01,55.565,-0.94357,121.36,226.87,55.516,-0.94746,121.34,0.015459,0.015459,1,0.00076731,0.0021614,-1.00E-05,0.0035356
0.63845,731.45,56.599,-0.93913,122.13,227.11,56.551,-0.94427,122.1,0.015474,0.015473,1,0.00077317,0.0021555,-1.00E-05,0.0035356
0.64431,732.89,57.634,-0.93472,122.89,227.35,57.586,-0.9411,122.87,0.015488,0.015487,1,0.00077903,0.0021496,-1.00E-05,0.0035356
0.65016,734.33,58.668,-0.93033,123.66,227.58,58.622,-0.93796,123.64,0.015502,0.015501,1,0.00078488,0.0021438,-1.00E-05,0.0035356
0.65602,735.77,59.703,-0.92597,124.43,227.82,59.657,-0.93485,124.41,0.015516,0.015515,1,0.00079074,0.0021379,-1.00E-05,0.0035356
0.66188,737.21,60.737,-0.92165,125.2,228.06,60.692,-0.93177,125.17,0.01553,0.01553,1,0.0007966,0.0021321,-1.00E-05,0.0035356
0.66773,738.66,61.772,-0.91735,125.96,228.3,61.728,-0.92872,125.94,0.015544,0.015544,1,0.00080245,0.0021262,-1.00E-05,0.0035356
0.67359,740.1,62.806,-0.91308,126.73,228.54,62.763,-0.9257,126.71,0.015559,0.015558,1,0.00080831,0.0021204,-1.00E-05,0.0035356
0.67945,741.51,63.877,-0.90131,127.56,228.76,63.835,-0.91514,127.54,0.015573,0.015573,1,0.00081417,0.0021145,-1.00E-05,0.0035356
0.68531,742.69,65.179,-0.84166,128.81,228.86,65.139,-0.85647,128.78,0.015591,0.015591,1,0.00082003,0.0021086,-1.00E-05,0.0035356
0.69116,743.88,66.481,-0.78206,130.05,228.97,66.442,-0.79785,130.03,0.015609,0.015608,1,0.00082588,0.0021028,-1.00E-05,0.0035356
0.69702,745.07,67.782,-0.72251,131.3,229.07,67.746,-0.73928,131.27,0.015626,0.015626,1,0.00083174,0.0020969,-1.00E-05,0.0035356
0.70288,746.26,69.084,-0.663,132.54,229.18,69.049,-0.68076,132.51,0.015644,0.015644,1,0.0008376,0.0020911,-1.00E-05,0.0035356
0.70874,747.44,70.386,-0.60355,133.78,229.29,70.353,-0.62229,133.76,0.015662,0.015662,1,0.00084346,0.0020852,-1.00E-05,0.0035356
0.71459,748.63,71.688,-0.54415,135.03,229.39,71.657,-0.56387,135,0.015679,0.015679,1,0.00084931,0.0020794,-1.00E-05,0.0035356
0.72045,749.82,72.99,-0.4848,136.27,229.5,72.96,-0.5055,136.24,0.015697,0.015697,1,0.00085517,0.0020735,-1.00E-05,0.0035356
0.72631,751.01,74.292,-0.4255,137.51,229.6,74.264,-0.44718,137.48,0.015715,0.015715,1,0.00086103,0.0020676,-1.00E-05,0.0035356
0.73217,752.2,75.593,-0.36625,138.76,229.71,75.568,-0.38891,138.73,0.015732,0.015733,1,0.00086689,0.0020618,-1.00E-05,0.0035356
0.73802,753.17,77.027,-0.29003,140.26,229.72,77.004,-0.31326,140.24,0.015752,0.015753,1,0.00087274,0.0020559,-1.00E-05,0.0035356
0.74388,753.84,78.654,-0.18889,142.16,229.59,78.633,-0.21207,142.13,0.015775,0.015776,1,0.0008786,0.0020501,-1.00E-05,0.0035356
0.74974,754.5,80.282,-0.087837,144.06,229.46,80.263,-0.11096,144.03,0.015798,0.015799,1,0.00088446,0.0020442,-1.00E-05,0.0035356
0.75559,755.16,81.909,0.013136,145.96,229.33,81.893,-0.00994,145.93,0.015821,0.015822,1,0.00089031,0.0020384,-1.00E-05,0.0035356
0.76145,755.83,83.536,0.11402,147.86,229.2,83.522,0.090996,147.83,0.015844,0.015845,1,0.00089617,0.0020325,-1.00E-05,0.0035356
0.76731,756.49,85.163,0.21483,149.76,229.07,85.152,0.19185,149.73,0.015867,0.015868,1,0.00090203,0.0020266,-1.00E-05,0.0035356
0.77317,757.15,86.791,0.31554,151.66,228.94,86.781,0.29261,151.63,0.01589,0.015891,1,0.00090789,0.0020208,-1.00E-05,0.0035356
0.77902,757.82,88.418,0.41617,153.56,228.81,88.411,0.39329,153.53,0.015913,0.015914,1,0.00091374,0.0020149,-1.00E-05,0.0035356
0.78488,758.48,90.045,0.51671,155.46,228.69,90.04,0.49388,155.42,0.015936,0.015938,1,0.0009196,0.0020091,-1.00E-05,0.0035356
0.79074,759.14,91.672,0.61716,157.36,228.56,91.67,0.59438,157.32,0.015959,0.015961,1,0.00092546,0.0020032,-1.00E-05,0.0035356
0.7966,759.43,93.615,0.71871,159.86,228.16,93.614,0.69684,159.83,0.015994,0.015996,1,0.00093132,0.0019974,-1.00E-05,0.0035356
0.80245,759.54,95.71,0.82069,162.66,227.63,95.711,0.80017,162.62,0.016035,0.016037,1,0.00093717,0.0019915,-1.00E-05,0.0035356
0.80831,759.64,97.806,0.92254,165.46,227.1,97.807,0.90335,165.42,0.016075,0.016077,1,0.00094303,0.0019856,-1.00E-05,0.0035356
0.81417,759.75,99.901,1.0242,168.25,226.57,99.904,1.0064,168.22,0.016116,0.016118,1,0.00094889,0.0019798,-1.00E-05,0.0035356
0.82003,759.85,102,1.1258,171.05,226.04,102,1.1093,171.01,0.016157,0.016159,1,0.00095475,0.0019739,-1.00E-05,0.0035356
0.82588,759.95,104.09,1.2272,173.85,225.51,104.1,1.212,173.81,0.016198,0.0162,1,0.0009606,0.0019681,-1.00E-05,0.0035356
0.83174,760.06,106.19,1.3285,176.65,224.98,106.19,1.3146,176.61,0.016238,0.016241,1,0.00096646,0.0019622,-1.00E-05,0.0035356
0.8376,760.16,108.28,1.4296,179.44,224.45,108.29,1.4171,179.4,0.016279,0.016281,1,0.00097232,0.0019563,-1.00E-05,0.0035356
0.84345,760.26,110.38,1.5305,182.24,223.92,110.38,1.5194,182.2,0.01632,0.016322,1,0.00097817,0.0019505,-1.00E-05,0.0035356
0.84931,760.37,112.47,1.6313,185.04,223.39,112.48,1.6215,185,0.016361,0.016363,1,0.00098403,0.0019446,-1.00E-05,0.0035356
0.85517,760.4,115.31,1.6913,188.96,222.25,115.31,1.6833,188.92,0.016451,0.016454,1,0.00098989,0.0019388,-1.00E-05,0.0035356
0.86103,760.43,118.19,1.7484,192.95,221.09,118.19,1.7423,192.91,0.016545,0.016548,1,0.00099575,0.0019329,-1.00E-05,0.0035356
0.86688,760.46,121.07,1.8053,196.94,219.92,121.07,1.8011,196.91,0.016639,0.016641,1,0.0010016,0.0019271,-1.00E-05,0.0035356
0.87278,760.49,123.95,1.862,200.93,218.75,123.95,1.8596,200.9,0.016733,0.016735,1,0.0010075,0.0019212,-1.00E-05,0.0035356
0.87858,760.52,126.83,1.9184,204.93,217.58,126.83,1.9179,204.89,0.016827,0.016829,1,0.0010133,0.0019153,-1.00E-05,0.0035356
0.88448,760.55,129.71,1.9745,208.92,216.41,129.71,1.976,208.88,0.016921,0.016923,1,0.0010192,0.0019095,-1.00E-05,0.0035356
0.89028,760.57,132.59,2.0304,212.91,215.24,132.59,2.0338,212.88,0.017015,0.017017,1,0.001025,0.0019036,-1.00E-05,0.0035356
0.89618,760.6,135.47,2.0861,216.9,214.07,135.47,2.0913,216.87,0.017108,0.017111,1,0.0010309,0.0018978,-1.00E-05,0.0035356
0.90198,760.63,138.35,2.1415,220.89,212.9,138.34,2.1486,220.86,0.017202,0.017204,1,0.0010367,0.0018919,-1.00E-05,0.0035356
0.90788,760.7,141.43,2.1845,225.2,211.53,141.43,2.1932,225.16,0.017321,0.017323,1,0.0010426,0.0018861,-1.00E-05,0.0035356
0.91378,760.97,145.28,2.181,230.68,209.39,145.28,2.1903,230.65,0.017532,0.017534,1,0.0010485,0.0018802,-1.00E-05,0.0035356
0.91958,761.23,149.14,2.1772,236.17,207.25,149.13,2.1871,236.14,0.017744,0.017746,1,0.0010543,0.0018743,-1.00E-05,0.0035356
0.92548,761.5,152.99,2.173,241.66,205.1,152.98,2.1835,241.63,0.017956,0.017958,1,0.0010602,0.0018685,-1.00E-05,0.0035356
0.93128,761.76,156.84,2.1686,247.15,202.96,156.83,2.1796,247.12,0.018167,0.018169,1,0.001066,0.0018626,-1.00E-05,0.0035356
0.93718,762.02,160.7,2.1637,252.63,200.82,160.68,2.1753,252.61,0.018379,0.018381,1,0.0010719,0.0018568,-1.00E-05,0.0035356
0.94298,762.29,164.55,2.1586,258.12,198.68,164.54,2.1708,258.1,0.018591,0.018593,1,0.0010777,0.0018509,-1.00E-05,0.0035356
0.94888,762.55,168.4,2.1531,263.61,196.54,168.39,2.1658,263.59,0.018802,0.018805,1,0.0010836,0.0018451,-1.00E-05,0.0035356
0.95478,762.81,172.25,2.1472,269.1,194.4,172.24,2.1606,269.07,0.019014,0.019016,1,0.0010895,0.0018392,-1.00E-05,0.0035356
0.96058,763.08,176.11,2.141,274.58,192.25,176.09,2.1549,274.56,0.019226,0.019228,1,0.0010953,0.0018333,-1.00E-05,0.0035356
0.96648,762.93,180.24,2.1209,280.72,189.56,180.22,2.1342,280.7,0.019534,0.019536,1,0.0011012,0.0018275,-1.00E-05,0.0035356
0.97228,762.35,184.68,2.0854,287.57,186.24,184.67,2.0969,287.56,0.019949,0.019952,1,0.001107,0.0018216,-1.00E-05,0.0035356
0.97818,761.76,189.13,2.0496,294.43,182.93,189.12,2.0594,294.41,0.020364,0.020367,1,0.0011129,0.0018158,-1.00E-05,0.0035356
0.98408,761.17,193.57,2.0135,301.28,179.61,193.56,2.0215,301.27,0.02078,0.020783,1,0.0011188,0.0018099,-1.00E-05,0.0035356
0.98988,760.58,198.02,1.9771,308.14,176.29,198.01,1.9834,308.12,0.021195,0.021199,1,0.0011246,0.0018041,-1.00E-05,0.0035356
0.99578,759.99,202.46,1.9405,315,172.98,202.45,1.9449,314.98,0.021611,0.021614,1,0.0011305,0.0017982,-1.00E-05,0.0035356
1.00158,759.4,206.9,1.9035,321.85,169.66,206.9,1.9062,321.83,0.022026,0.02203,1,0.0011363,0.0017923,-1.00E-05,0.0035356
1.00748,758.81,211.35,1.8663,328.7,166.35,211.34,1.8672,328.69,0.022441,0.022445,1,0.0011422,0.0017865,-1.00E-05,0.0035356
1.01328,758.22,215.79,1.8287,335.56,163.03,215.79,1.8278,335.55,0.022857,0.022861,1,0.001148,0.0017806,-1.00E-05,0.0035356
1.01918,757.63,220.24,1.7909,342.41,159.72,220.23,1.7882,342.4,0.023272,0.023277,1,0.0011539,0.0017748,-1.00E-05,0.0035356
1.02508,754.61,224.4,1.7446,349.29,155.88,224.39,1.7397,349.28,0.023868,0.023872,1,0.0011598,0.0017689,-1.00E-05,0.0035356
1.03088,750.73,228.45,1.6952,356.18,151.86,228.46,1.6881,356.17,0.024527,0.024531,1,0.0011656,0.0017631,-1.00E-05,0.0035356
1.03678,746.85,232.51,1.6459,363.07,147.84,232.52,1.6364,363.06,0.025186,0.025191,1,0.0011715,0.0017572,-1.00E-05,0.0035356
1.04258,742.97,236.57,1.5965,369.96,143.82,236.58,1.5847,369.95,0.025845,0.02585,1,0.0011773,0.0017513,-1.00E-05,0.0035356
1.04848,739.09,240.63,1.5471,376.85,139.8,240.64,1.533,376.84,0.026504,0.026509,1,0.0011832,0.0017455,-1.00E-05,0.0035356
1.05428,735.21,244.69,1.4976,383.74,135.78,244.7,1.4812,383.73,0.027163,0.027169,1,0.001189,0.0017396,-1.00E-05,0.0035356
1.06018,731.33,248.75,1.4481,390.63,131.76,248.76,1.4294,390.62,0.027823,0.027828,1,0.0011949,0.0017338,-1.00E-05,0.0035356
1.06608,727.45,252.81,1.3986,397.52,127.74,252.82,1.3776,397.51,0.028482,0.028487,1,0.0012008,0.0017279,-1.00E-05,0.0035356
1.07188,723.57,256.87,1.349,404.41,123.72,256.88,1.3257,404.4,0.029141,0.029146,1,0.0012066,0.0017221,-1.00E-05,0.0035356
1.07778,719.68,260.92,1.2993,411.29,119.7,260.94,1.2737,411.28,0.0298,0.029806,1,0.0012125,0.0017162,-1.00E-05,0.0035356
