arc_length,rho
0.0018392,0.038311
0.0018451,0.037883
0.0018509,0.03745
0.0018568,0.037017
0.0018626,0.036585
0.0018685,0.036152
0.0018743,0.03572
0.0018802,0.035288
0.0018861,0.034856
0.0018919,0.034496
0.0018978,0.034279
0.0019036,0.034063
0.0019095,0.033847
0.0019153,0.033632
0.0019212,0.033416
0.0019271,0.033201
0.0019329,0.032985
0.0019388,0.03277
0.0019446,0.03271
0.0019505,0.032667
0.0019563,0.032624
0.0019622,0.032581
0.0019681,0.032538
0.0019739,0.032495
0.0019798,0.032452
0.0019856,0.032409
0.0019915,0.032431
0.0019974,0.032525
0.0020032,0.032619
0.0020091,0.032714
0.0020149,0.032808
0.0020208,0.032902
0.0020266,0.032997
0.0020325,0.033091
0.0020384,0.033189
0.0020442,0.03335
0.0020501,0.033511
0.0020559,0.033673
0.0020618,0.033834
0.0020676,0.033996
0.0020735,0.034157
0.0020794,0.034319
0.0020852,0.03448
0.0020911,0.034533
0.0020969,0.034517
0.0021028,0.034501
0.0021086,0.034484
0.0021145,0.034468
0.0021204,0.034451
0.0021262,0.034435
0.0021321,0.034418
0.0021379,0.034371
0.0021438,0.034188
0.0021496,0.034005
0.0021555,0.033822
0.0021614,0.033639
0.0021672,0.033456
0.0021731,0.033273
0.0021789,0.03309
0.0021848,0.032907
0.0021906,0.032767
0.0021965,0.032641
0.0022024,0.032515
0.0022082,0.03239
0.0022141,0.032264
0.0022199,0.032138
0.0022258,0.032013
0.0022316,0.031887
0.0022375,0.03179
0.0022434,0.031752
0.0022492,0.031713
0.0022551,0.031675
0.0022609,0.031637
0.0022668,0.031598
0.0022726,0.03156
0.0022785,0.031522
0.0022844,0.031484
0.0022902,0.031442
0.0022961,0.031401
0.0023019,0.031359
0.0023078,0.031317
0.0023136,0.031276
0.0023195,0.031234
0.0023254,0.031192
0.0023312,0.03115
0.0023371,0.0311
0.0023429,0.031039
0.0023488,0.030978
0.0023546,0.030917
0.0023605,0.030856
0.0023664,0.030795
0.0023722,0.030734
0.0023781,0.030673
0.0023839,0.030611
0.0023898,0.030496
0.0023956,0.030382
0.0024015,0.030268
0.0024074,0.030154
0.0024132,0.03004
0.0024191,0.029926
0.0024249,0.029812
0.0024308,0.029697
0.0024367,0.029556
0.0024425,0.029396
0.0024484,0.029237
0.0024542,0.029077
0.0024601,0.028918
0.0024659,0.028758
0.0024718,0.028599
0.0024777,0.028439
0.0024835,0.028282
0.0024894,0.028137
0.0024952,0.027992
0.0025011,0.027847
0.0025069,0.027702
