"p","U:0","U:1","U:2","T","U_0:0","U_0:1","U_0:2","alphat","epsilon","epsilon_0","k","k_0","nut","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
685.5,60.914,-0.1954,135.01,210.91,60.899,-0.19156,135,4.402e-006,7.807e+007,7.8066e+007,492.66,492.7,0.00028137,0.015617,0.015617,1,0.00073217,0.0021965,-1e-005,0.0035356
686.29,61.569,-0.21418,135.29,210.8,61.553,-0.20999,135.28,4.5125e-006,8.1405e+007,8.1401e+007,509.04,509.07,0.00028797,0.015643,0.015643,1,0.00073802,0.0021906,-1e-005,0.0035356
687.09,62.223,-0.23296,135.57,210.68,62.208,-0.22844,135.56,4.623e-006,8.4741e+007,8.4736e+007,525.42,525.45,0.00029456,0.01567,0.01567,1,0.00074388,0.0021848,-1e-005,0.0035356
687.88,62.878,-0.25175,135.85,210.57,62.862,-0.2469,135.84,4.7335e-006,8.8076e+007,8.8071e+007,541.79,541.83,0.00030116,0.015696,0.015696,1,0.00074974,0.0021789,-1e-005,0.0035356
688.67,63.533,-0.27056,136.13,210.45,63.516,-0.26536,136.11,4.844e-006,9.1411e+007,9.1406e+007,558.17,558.2,0.00030776,0.015723,0.015723,1,0.0007556,0.0021731,-1e-005,0.0035356
689.52,64.395,-0.31097,136.68,210.25,64.378,-0.30554,136.67,4.98e-006,9.6109e+007,9.6102e+007,579.3,579.32,0.00031555,0.015757,0.015758,1,0.00076145,0.0021672,-1e-005,0.0035356
690.37,65.29,-0.35474,137.27,210.04,65.272,-0.34908,137.26,5.1199e-006,1.0102e+008,1.0101e+008,601.15,601.17,0.00032353,0.015794,0.015794,1,0.00076731,0.0021614,-1e-005,0.0035356
691.22,66.186,-0.39853,137.86,209.82,66.167,-0.39264,137.85,5.2599e-006,1.0592e+008,1.0592e+008,623,623.02,0.00033152,0.01583,0.01583,1,0.00077317,0.0021555,-1e-005,0.0035356
692.07,67.081,-0.44233,138.45,209.6,67.061,-0.43621,138.44,5.3998e-006,1.1083e+008,1.1082e+008,644.86,644.87,0.0003395,0.015866,0.015866,1,0.00077903,0.0021496,-1e-005,0.0035356
692.93,67.976,-0.48614,139.05,209.39,67.956,-0.4798,139.04,5.5398e-006,1.1574e+008,1.1573e+008,666.71,666.72,0.00034748,0.015902,0.015902,1,0.00078488,0.0021438,-1e-005,0.0035356
693.78,68.871,-0.52997,139.64,209.17,68.85,-0.5234,139.63,5.6797e-006,1.2065e+008,1.2064e+008,688.57,688.57,0.00035546,0.015938,0.015938,1,0.00079074,0.0021379,-1e-005,0.0035356
